n= 1, distance expectation: 1.207
n= 2, distance expectation: 1.538
n= 3, distance expectation: 1.911
n= 4, distance expectation: 2.188
n= 5, distance expectation: 2.447
n= 6, distance expectation: 2.676
n= 7, distance expectation: 2.889
n= 8, distance expectation: 3.086
n= 9, distance expectation: 3.272
n= 10, distance expectation: 3.447
n= 11, distance expectation: 3.614
n= 12, distance expectation: 3.774
n= 13, distance expectation: 3.927
n= 14, distance expectation: 4.074
n= 15, distance expectation: 4.216
n= 16, distance expectation: 4.354
n= 17, distance expectation: 4.487
n= 18, distance expectation: 4.617
n= 19, distance expectation: 4.743
n= 20, distance expectation: 4.865
